ICD10,Description
Y038XXS,"Other assault by crashing of motor vehicle, sequela"
Y040XXA,"Assault by unarmed brawl or fight, initial encounter"
Y040XXD,"Assault by unarmed brawl or fight, subsequent encounter"
Y040XXS,"Assault by unarmed brawl or fight, sequela"
Y041XXA,"Assault by human bite, initial encounter"
Y041XXD,"Assault by human bite, subsequent encounter"
Y041XXS,"Assault by human bite, sequela"
Y042XXA,"Asslt by strike agnst or bumped into by another person, init"
Y042XXD,"Asslt by strike agnst or bumped into by another person, subs"
Y042XXS,"Asslt by strike agnst or bumped into by another person, sqla"
Y048XXA,"Assault by other bodily force, initial encounter"
Y048XXA,"Assault by other bodily force, initial encounter"
Y048XXD,"Assault by other bodily force, subsequent encounter"
Y048XXS,"Assault by other bodily force, sequela"
Y0801XA,"Assault by strike by hockey stick, initial encounter"
Y0801XD,"Assault by strike by hockey stick, subsequent encounter"
Y0801XS,"Assault by strike by hockey stick, sequela"
Y0802XA,"Assault by strike by baseball bat, initial encounter"
Y0802XD,"Assault by strike by baseball bat, subsequent encounter"
Y0802XS,"Assault by strike by baseball bat, sequela"
Y0809XA,"Assault by strike by oth type of sport equipment, init"
Y0809XD,"Assault by strike by oth type of sport equipment, subs"
Y0809XS,"Assault by strike by oth type of sport equipment, sequela"
Y0881XA,"Assault by crashing of aircraft, initial encounter"
Y0881XD,"Assault by crashing of aircraft, subsequent encounter"
Y0881XS,"Assault by crashing of aircraft, sequela"
Y0889XA,"Assault by other specified means, initial encounter"
Y0889XD,"Assault by other specified means, subsequent encounter"
Y0889XS,"Assault by other specified means, sequela"
Y09,Assault by unspecified means
